prb_id,ip,asn,hostname,org,description,country_name,country_code,region,city,lon,lat
239,196.1.95.16,8346,dkr-sn.probe.atlas.ucad.sn,AS8346 SONATEL-AS Autonomous System,UCAD Probe,Senegal,SN,,,-17.4415,14.6715
242,196.210.11.182,328453,196-210-11-182.dynamic.isadsl.co.za,AS3741 Internet Solutions,1 Belvedere,South Africa,ZA,Western Cape,Cape Town,18.4895,-33.9815
446,196.192.112.229,37708,p446.probes.atlas.ripe.net,AS37708 African Network Information Center - ( AfriNIC Ltd. ),AFRINIC Mauritius,Mauritius,MU,,,57.4995,-20.2395
473,196.4.161.3,3741,ripe-ncc.is.co.za,AS3741 Internet Solutions,"Internet Solutions [http://www.is.co.za] - Rosebank, ZA - (AS3741)",South Africa,ZA,,,28.0405,-26.1515
567,193.95.66.40,2609,,AS2609 Tunisia BackBone AS,"ATI, BELVEDERE, 1G/s",Tunisia,TN,Tūnis,Tunis,10.1805,36.8205
596,168.167.253.35,14988,,AS14988 Botswana Telecommunications Corporation,BTC GABORONE PROBE,Botswana,BW,Gaborone,Gaborone,25.9115,-24.6595
2456,41.204.67.203,15964,,AS15964 CAMTEL,JeanFrancis (Camtel ADSL 2/1 -Home),Cameroon,CM,Littoral,Douala,9.7295,4.0905
2608,197.255.240.2,37542,core.iclix.co.za,AS37542 Iclix (PTY) Ltd,Iclix ISP,South Africa,ZA,Orange Free State,Bloemfontein,26.2175,-29.1185
3461,196.24.38.242,2018,242-38-24-196.kat.ac.za,AS2018 TENET (The UNINET Project),SKA Africa - Karoo,South Africa,ZA,Western Cape,Cape Town,21.4205,-30.7625
4041,155.93.250.145,37680,,AS37680 Cool Ideas Service Provider (Pty) Ltd,"DS, Home, CPT, ZA",South Africa,ZA,Western Cape,Cape Town,18.3795,-33.9325
4070,45.220.156.134,32653,,AS32653 eNetworks cc,eNetworks Isando,South Africa,ZA,Western Cape,Cape Town,28.2005,-26.1425
4088,169.255.59.253,327813,,AS327813 VIDOLU Group Pty Ltd-Web4Africa,W4A,South Africa,ZA,Gauteng,Randburg,28.0515,-26.1985
4092,197.148.64.10,37497,cr-isa-1.npvpn.za.net,AS37497 Network Platforms (PTY) LTD,,South Africa,ZA,Gauteng,Edenvale,28.2015,-26.1415
4153,169.0.142.186,328266,169-0-142-186.ip.afrihost.co.za,AS37611 Afrihost (Pty) Ltd,Petersklip,South Africa,ZA,Western Cape,Cape Town,18.4595,-34.0115
4274,197.255.75.209,37074,197-255-75-209-noc-lan.ug.edu.gh,AS37074 University of Ghana,,Ghana,GH,Greater Accra,Accra,-0.1895,5.6495
4519,197.88.56.74,10474,197-88-56-74.dsl.mweb.co.za,AS10474 Dimension Data (Pty) Ltd - Optinet,,South Africa,ZA,Eastern Cape,Port Elizabeth,26.5275,-33.3085
10243,41.221.32.130,37084,,AS37084 Simbanet (T) Limited,SimbaNET TZ,"Tanzania, United Republic of",TZ,,,39.2795,-6.7915
10843,41.220.10.74,29032,,AS29032 DATANET LLC,Datanet,Uganda,UG,Central Region,Kampala,32.5795,0.3085
10967,155.93.174.40,37680,,AS37680 Cool Ideas Service Provider (Pty) Ltd,ndg@home,South Africa,ZA,Gauteng,Johannesburg,28.0005,-26.1195
11182,154.73.1.108,37618,ftp.telemedia.co.za,AS37618 Telemedia (PTY) Ltd,Telemedia,South Africa,ZA,Gauteng,Johannesburg,28.0615,-26.0615
11236,41.75.79.4,37281,,AS37281 GVA Congo,YATTOO CONGO PROBE,Congo,CG,Pointe-Noire,Pointe-Noire,11.8685,-4.7695
11327,41.222.48.34,32653,firewall.enetworks.co.za,AS32653 eNetworks cc,,South Africa,ZA,Western Cape,Cape Town,18.4185,-33.9095
11383,196.1.95.103,8346,,AS8346 SONATEL-AS Autonomous System,UCAD-NG-Probe,Senegal,SN,,,-17.3685,14.7585
11944,41.222.192.58,37090,,AS37090 ISOCEL SA,ISOCEL Telecom SA_ Joey Esquibal,Benin,BJ,Littoral,Cotonou,2.4295,6.3695
12168,129.205.13.155,37063,,AS37063 Roke Investments International Ltd,NFT-UG-PROBE,Uganda,UG,Central Region,Kampala,32.5805,0.3215
12195,196.200.113.228,30988,,AS30988 IS InternetSolutions Limited,"Internet Solutions [http://www.is.co.za] - Lagos, NG - (AS30988)",Nigeria,NG,,,3.4415,6.4295
12205,196.209.244.200,3741,196-209-244-200.dynamic.isadsl.co.za,AS3741 Internet Solutions,Internet Solutions (Johannesburg) - ISDSL Home User 1,South Africa,ZA,Gauteng,Randburg,27.9875,-26.0905
12205,196.209.244.200,3741,196-209-244-200.dynamic.isadsl.co.za,AS3741 Internet Solutions,Internet Solutions (Johannesburg) - ISDSL Home User 1,South Africa,ZA,Gauteng,Randburg,27.9875,-26.0905
12207,196.37.104.121,3741,,AS3741 Internet Solutions,"Internet Solutions [http://www.is.co.za] - Umhlanga, ZA - (AS3741)",South Africa,ZA,Gauteng,Dunkeld,31.0875,-29.7295
12286,45.220.168.198,32653,ripe-atlas.enetworks.net,AS32653 eNetworks cc,eNetworks Samrand,South Africa,ZA,Western Cape,Cape Town,28.1415,-25.9295
12344,196.200.131.136,30983,ripe-atlas.marwan.ma,AS30983 CNRST (Centre National pour la Recherche Scientifique et Technique),MARWAN-NOC,Morocco,MA,Rabat-Salé-Kénitra,Rabat,-6.8705,33.9695
12389,154.126.209.1,327750,jennyoffice.jennytest.co.za,AS327750 Jenny Internet cc,,South Africa,ZA,KwaZulu-Natal,Arbor Park,29.9315,-27.7385
12465,196.33.14.6,3741,web-ctn-02.onsite.hosting.co.za,AS3741 Internet Solutions,"Internet Solutions [http://www.is.co.za] - Cape Town, ZA - (AS3741)",South Africa,ZA,,,18.4205,-33.9205
12466,197.245.68.244,328137,dsl-197-245-68-244.voxdsl.co.za,AS11845 Vox Telecom Ltd,2nd bedroom,South Africa,ZA,Western Cape,Cape Town,18.6405,-33.8895
12956,197.87.171.147,10474,197-87-171-147.cpt.mweb.co.za,AS10474 Dimension Data (Pty) Ltd - Optinet,,South Africa,ZA,Gauteng,Pretoria,28.2195,-25.7295
12975,154.119.7.3,327798,,"AS327798 The ICT Executive Secretariat for telecommunications, Information and Communications (SETIC) Burundi.",,Burundi,BI,,,29.3805,-3.3805
13114,41.89.1.251,36914,,AS36914 Kenya Education Network,KENET-USIU-POP,Kenya,KE,Nairobi Area,Nairobi,36.8775,-1.2205
13218,41.204.160.27,36914,,AS36914 Kenya Education Network,KENET-UoN-POP,Kenya,KE,Central,Kalimoni,36.8175,-1.2785
13236,196.11.48.1,37691,,AS37691 Thought Express Semantic Technology,,South Africa,ZA,Western Cape,Cape Town,18.4185,-33.9195
13239,41.86.224.94,37090,,AS37090 ISOCEL SA,,Benin,BJ,Littoral,Cotonou,2.4285,6.3715
13263,41.222.48.170,32653,firewall.thoughtexpress.co.za,AS32653 eNetworks cc,,South Africa,ZA,Western Cape,Cape Town,18.4205,-33.9215
13299,102.166.200.254,15399,twiga.telkom.co.ke,AS12455 Kenyan Post & Telecommunications Company / Telkom Kenya Ltd,Hosted at iHub Ltd,Kenya,KE,Nairobi Area,Nairobi,36.8215,-1.2885
13503,196.44.32.103,15022,v503.bb4.ter.cpt.adept.za.net,AS15022 Adept Internet (Pty) Ltd CT,adept-teraco-newlands,South Africa,ZA,Western Cape,Stellenbosch,18.4575,-33.9715
13705,105.16.112.6,37100,pb-01-mba.ke.seacomnet.com,AS37100 SEACOM Limited,"Mombasa, Kenya",Kenya,KE,Mombasa District,Mombasa,39.6575,-4.0805
13711,146.232.195.99,2018,tygripe.sun.ac.za,AS2018 TENET (The UNINET Project),,South Africa,ZA,Western Cape,Stellenbosch,18.6075,-33.9125
13725,105.16.144.2,37100,pb-01-mpm.mz.seacomnet.com,AS37100 SEACOM Limited,"Maputo, Mozambique",Mozambique,MZ,Cidade de Maputo,Maputo,32.5785,-25.9705
13727,41.220.165.11,30619,,AS30619 Telecomunicacoes de Mocambique (TDM),TDM,Mozambique,MZ,Tete,Tete,32.5785,-25.9695
13728,197.96.247.130,3741,,AS3741 Internet Solutions,"Internet Solutions [http://www.is.co.za] - Bloemfontein, ZA - (AS3741)",South Africa,ZA,KwaZulu-Natal,Chatsworth,26.2185,-29.1085
13732,213.55.83.197,24757,mail.aee.com.et,AS24757 Ethio Telecom,Afro European Engineers,Ethiopia,ET,Addis Ababa,Addis Ababa,38.7885,8.9885
13734,105.16.152.2,37100,pb-01-emg.za.seacomnet.com,AS37100 SEACOM Limited,"Mtunzini, South Africa",South Africa,ZA,KwaZulu-Natal,Mtunzini,31.7485,-28.9505
13754,196.41.102.102,36874,102.102.41.196.lightspeed.co.za,AS36874 Cybersmart,LIGHTSPEED,South Africa,ZA,Western Cape,Monte Vista,18.4195,-33.9305
13755,41.77.144.98,30844,eth0-0.lzm-fw-lsk.liquidtelecom.net,AS30844 Liquid Telecommunications Ltd,,Zambia,ZM,,,28.2195,-12.8205
13755,41.77.144.98,30844,eth0-0.lzm-fw-lsk.liquidtelecom.net,AS30844 Liquid Telecommunications Ltd,,Zambia,ZM,,,28.2195,-12.8205
13758,41.77.144.98,30844,eth0-0.lzm-fw-lsk.liquidtelecom.net,AS30844 Liquid Telecommunications Ltd,,Zambia,ZM,,,28.3195,-15.3885
13758,41.77.144.98,30844,eth0-0.lzm-fw-lsk.liquidtelecom.net,AS30844 Liquid Telecommunications Ltd,,Zambia,ZM,,,28.3195,-15.3885
13769,41.206.63.94,15808,41.206.63.94.accesskenya.com,AS15808 ACCESSKENYA GROUP LTD is an ISP serving,"Access Kenya (Internet Solutions) [http://www.accesskenya.com]  - Mombasa, KE - (AS15808)",Kenya,KE,,,39.6705,-4.0385
13771,212.22.174.222,12556,,AS12556 Internet Solutions (Kenya),"Internet Solutions [http://www.is.co.ke] - Nairobi, KE - (AS12556)",Kenya,KE,Nairobi Area,Nairobi,36.8205,-1.2925
13779,212.22.174.2,12556,,AS12556 Internet Solutions (Kenya),"Internet Solutions [http://www.is.co.ke] - Nairobi, KE - (AS12556)",Kenya,KE,Nairobi Area,Nairobi,36.8205,-1.2885
